date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2024-05-01,71.0,HIGH,71.0,94.0,55.0,LOW,HIGH,MEDIUM
2024-04-30,39.0,MEDIUM,39.0,99.0,49.0,MEDIUM,HIGH,MEDIUM
2024-04-29,100.0,HIGH,100.0,95.0,46.0,LOW,HIGH,MEDIUM
2024-04-28,98.0,HIGH,98.0,99.0,58.0,LOW,HIGH,MEDIUM
2024-04-27,87.0,HIGH,87.0,94.0,51.0,LOW,HIGH,MEDIUM
2024-04-26,61.0,MEDIUM,61.0,97.0,56.0,MEDIUM,HIGH,MEDIUM
2024-04-25,17.0,LOW,17.0,82.0,51.0,HIGH,HIGH,MEDIUM
2024-04-24,44.0,MEDIUM,44.0,87.0,54.0,MEDIUM,HIGH,MEDIUM
2024-04-23,1.0,LOW,0.0,73.0,43.0,HIGH,HIGH,MEDIUM
2024-04-22,91.0,HIGH,91.0,91.0,44.0,LOW,HIGH,MEDIUM
2024-04-21,88.0,HIGH,88.0,97.0,42.0,LOW,HIGH,MEDIUM
2024-04-20,78.0,HIGH,78.0,99.0,54.0,LOW,HIGH,MEDIUM
2024-04-19,56.0,MEDIUM,56.0,86.0,60.0,MEDIUM,HIGH,MEDIUM
2024-04-18,12.0,LOW,12.0,83.0,33.0,HIGH,HIGH,MEDIUM
2024-04-17,60.0,MEDIUM,60.0,73.0,57.0,MEDIUM,HIGH,MEDIUM
2024-04-16,21.0,LOW,21.0,83.0,55.0,HIGH,HIGH,MEDIUM
2024-04-15,99.0,HIGH,99.0,98.0,49.0,LOW,HIGH,MEDIUM
2024-04-14,28.0,LOW,100.0,99.0,28.0,LOW,HIGH,LOW
2024-04-13,100.0,HIGH,100.0,99.0,67.0,LOW,HIGH,MEDIUM
2024-04-12,100.0,HIGH,100.0,99.0,73.0,LOW,HIGH,HIGH
2024-04-11,99.0,HIGH,99.0,96.0,55.0,LOW,HIGH,MEDIUM
2024-04-10,91.0,HIGH,91.0,80.0,30.0,LOW,HIGH,MEDIUM
2024-04-09,96.0,HIGH,96.0,77.0,40.0,LOW,HIGH,MEDIUM
2024-04-07,79.0,HIGH,79.0,89.0,32.0,LOW,HIGH,MEDIUM
2024-04-06,87.0,HIGH,87.0,98.0,41.0,LOW,HIGH,MEDIUM
2024-04-05,79.0,HIGH,79.0,97.0,48.0,LOW,HIGH,MEDIUM
2024-04-04,45.0,MEDIUM,45.0,98.0,56.0,MEDIUM,HIGH,MEDIUM
2024-04-03,92.0,HIGH,92.0,96.0,34.0,LOW,HIGH,MEDIUM
2024-04-02,100.0,HIGH,100.0,93.0,59.0,LOW,HIGH,MEDIUM
2024-04-01,93.0,HIGH,93.0,57.0,42.0,LOW,MEDIUM,MEDIUM
