timestamp,rmssd,coverage,low_frequency,high_frequency
2024-09-23T01:25:00,32.752,0.767,791.819,138.631
2024-09-23T01:30:00,28.818,0.939,550.182,122.834
2024-09-23T01:35:00,30.99,0.979,937.708,126.436
2024-09-23T01:40:00,25.227,1.001,490.28,135.104
2024-09-23T01:45:00,20.327,0.927,380.871,80.743
2024-09-23T01:50:00,20.855,1.007,239.811,78.902
2024-09-23T01:55:00,18.492,1.002,173.751,72.717
2024-09-23T02:00:00,23.072,0.973,356.316,112.45
2024-09-23T02:05:00,20.018,1.006,304.582,80.855
2024-09-23T02:10:00,20.242,0.995,236.706,105.805
2024-09-23T02:15:00,22.944,0.97,722.272,90.89
2024-09-23T02:20:00,22.499,1.005,546.101,113.533
2024-09-23T02:25:00,21.564,1.002,760.305,85.452
2024-09-23T02:30:00,20.181,1.003,331.987,108.39
2024-09-23T02:35:00,20.835,1.004,565.601,96.955
2024-09-23T02:40:00,20.972,1.003,261.556,106.704
2024-09-23T02:45:00,17.689,0.998,499.293,49.972
2024-09-23T02:50:00,15.387,0.935,1097.646,31.896
2024-09-23T02:55:00,17.28,0.908,498.978,18.121
2024-09-23T03:00:00,21.078,0.929,1267.687,87.72
2024-09-23T03:05:00,18.716,0.949,631.204,40.767
2024-09-23T03:10:00,20.909,0.949,601.612,66.04
2024-09-23T03:15:00,17.04,0.999,1642.784,38.126
2024-09-23T03:20:00,22.074,0.965,2590.516,127.902
2024-09-23T03:25:00,25.983,0.934,1291.49,151.004
2024-09-23T03:30:00,23.154,0.938,828.697,95.429
2024-09-23T03:35:00,22.242,0.942,987.37,49.927
2024-09-23T03:40:00,30.927,0.925,3101.669,139.114
2024-09-23T03:45:00,25.165,0.879,1385.742,128.12
2024-09-23T03:50:00,21.521,0.919,275.774,81.858
2024-09-23T03:55:00,17.794,0.76,157.245,15.316
2024-09-23T04:00:00,29.923,1.002,796.595,189.592
2024-09-23T04:05:00,29.308,1.001,528.126,230.349
2024-09-23T04:10:00,28.956,1.006,522.736,171.297
2024-09-23T04:15:00,29.615,1.004,688.366,209.471
2024-09-23T04:20:00,28.927,0.997,454.556,186.067
2024-09-23T04:25:00,30.654,1.006,927.975,179.053
2024-09-23T04:30:00,31.442,1.0,1210.404,199.985
2024-09-23T04:35:00,33.689,0.974,1291.57,189.381
2024-09-23T04:40:00,32.573,1.004,882.658,206.561
2024-09-23T04:45:00,28.793,0.999,857.048,218.904
2024-09-23T04:50:00,30.492,1.005,860.92,223.614
2024-09-23T04:55:00,32.541,1.004,641.632,248.301
2024-09-23T05:00:00,34.184,0.974,1745.961,215.101
2024-09-23T05:05:00,23.997,1.006,1738.754,110.978
2024-09-23T05:10:00,23.427,0.984,1242.927,116.029
2024-09-23T05:15:00,19.272,0.982,821.105,66.244
2024-09-23T05:20:00,14.072,0.999,627.384,48.568
2024-09-23T05:25:00,29.399,0.898,2386.047,79.721
2024-09-23T05:30:00,27.407,0.966,1749.332,67.913
2024-09-23T05:35:00,22.506,1.003,1329.113,35.393
2024-09-23T05:40:00,27.31,0.937,1700.707,103.329
2024-09-23T05:45:00,25.966,0.958,1131.57,77.296
2024-09-23T05:50:00,23.629,0.928,1131.03,114.654
2024-09-23T05:55:00,24.247,0.959,1229.957,100.096
2024-09-23T06:00:00,22.161,1.002,1184.257,85.062
2024-09-23T06:05:00,23.751,1.003,650.618,119.068
2024-09-23T06:10:00,22.402,1.003,542.706,101.486
2024-09-23T06:15:00,26.414,0.972,541.441,107.761
2024-09-23T06:20:00,25.692,0.998,563.193,143.134
2024-09-23T06:25:00,25.184,1.004,673.088,146.322
2024-09-23T06:30:00,23.739,1.001,589.589,93.789
2024-09-23T06:35:00,26.984,1.002,1115.298,138.454
2024-09-23T06:40:00,34.171,0.977,2594.147,118.597
2024-09-23T06:45:00,17.902,0.954,952.056,38.927
2024-09-23T06:50:00,23.467,0.982,1091.909,63.96
2024-09-23T06:55:00,28.126,0.903,1444.998,77.142
2024-09-23T07:00:00,52.159,0.78,2800.201,345.671
2024-09-23T07:05:00,35.513,0.948,1410.644,224.257
2024-09-23T07:10:00,29.224,0.928,3079.887,159.1
2024-09-23T07:15:00,26.78,0.969,1414.717,95.011
2024-09-23T07:20:00,27.754,0.926,591.267,182.531
2024-09-23T07:25:00,25.911,0.983,848.125,69.145
2024-09-23T07:30:00,34.23,0.958,1340.474,212.136
2024-09-23T07:35:00,41.03,0.983,2096.514,303.957
2024-09-23T07:40:00,33.995,0.989,1117.018,174.381
2024-09-23T07:45:00,40.829,0.977,2112.909,290.778
2024-09-23T07:50:00,41.339,0.945,2530.688,243.25
2024-09-23T07:55:00,31.874,1.004,1269.394,134.27
2024-09-23T08:00:00,32.867,1.003,870.024,200.435
2024-09-23T08:05:00,27.538,0.99,413.369,116.073
2024-09-23T08:10:00,26.754,1.005,525.67,128.304
2024-09-23T08:15:00,46.297,0.955,1926.807,326.222
2024-09-23T08:20:00,39.004,0.987,1828.838,177.84
