timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-09-01T11:13:30,13.0,0.8,9.696,13.0,0.8,9.696,12.8,1.1,9.441,-1.0,0.0,2.126
2024-09-02T10:58:30,12.6,1.1,9.382,12.6,1.1,9.382,12.6,0.8,7.937,-1.0,0.0,1.889
2024-09-03T08:54:00,13.0,0.8,8.696,13.0,0.8,8.696,13.2,0.9,5.954,14.4,2.1,2.924
2024-09-04T08:51:30,13.4,1.2,5.309,13.4,1.2,5.309,12.2,0.7,3.597,-1.0,0.0,1.658
2024-09-05T08:15:30,13.4,0.8,6.256,13.4,0.8,6.256,12.8,0.9,7.091,-1.0,0.0,1.941
2024-09-06T08:47:30,12.8,0.7,10.434,12.8,0.7,10.434,12.6,1.3,5.93,13.6,1.7,2.781
2024-09-07T10:40:30,13.2,0.7,8.442,13.2,0.7,8.442,13.0,1.1,7.824,-1.0,0.0,1.898
2024-09-08T11:04:30,14.0,0.9,7.129,14.0,0.9,7.129,13.4,0.8,7.977,13.8,1.2,3.01
2024-09-09T09:08:30,14.2,0.8,7.591,14.2,0.8,7.591,14.0,0.9,9.668,-1.0,0.0,2.227
2024-09-10T08:40:30,13.8,1.3,5.209,13.8,1.3,5.209,12.4,0.9,6.881,13.6,0.9,3.107
2024-09-11T08:48:30,13.4,1.4,8.834,13.4,1.4,8.834,13.4,0.9,5.617,-1.0,0.0,1.815
2024-09-12T08:03:30,13.6,0.6,5.599,13.6,0.6,5.599,12.4,1.1,9.072,-1.0,0.0,2.276
2024-09-13T08:39:00,13.8,1.1,8.619,13.8,1.1,8.619,13.4,0.9,7.412,-1.0,0.0,1.871
2024-09-14T09:53:30,13.4,0.9,8.295,13.4,0.9,8.295,13.2,0.8,9.821,14.0,1.0,3.074
2024-09-15T08:47:00,13.6,0.8,6.025,13.6,0.8,6.025,13.4,0.8,8.741,14.2,0.8,3.472
2024-09-15T11:13:30,13.4,0.7,6.894,13.4,0.7,6.894,13.2,1.2,7.551,-1.0,0.0,2.241
2024-09-16T08:59:00,14.2,0.8,9.99,14.2,0.8,9.99,13.4,0.9,9.261,-1.0,0.0,1.881
2024-09-17T08:58:00,13.2,0.9,6.003,13.2,0.9,6.003,13.0,1.4,5.776,-1.0,0.0,1.531
2024-09-18T08:52:30,13.6,1.4,8.268,13.6,1.4,8.268,13.4,1.2,4.974,-1.0,0.0,2.043
2024-09-19T08:03:00,13.2,1.1,6.796,13.2,1.1,6.796,12.6,1.1,6.576,-1.0,0.0,1.872
2024-09-20T08:07:00,13.6,0.9,6.373,13.6,0.9,6.373,13.4,0.8,9.683,12.4,0.5,2.978
2024-09-21T10:34:30,13.6,0.9,5.826,13.6,0.9,5.826,13.2,1.0,7.882,13.8,2.4,6.555
2024-09-22T08:29:30,13.4,1.0,7.662,13.4,1.0,7.662,13.2,1.3,10.234,14.4,0.9,2.735
2024-09-23T08:33:30,13.2,0.9,7.722,13.2,0.9,7.722,12.8,1.0,8.382,13.2,1.6,4.396
2024-09-24T08:18:30,13.8,1.2,7.486,13.8,1.2,7.486,13.2,1.0,8.907,-1.0,0.0,1.868
2024-09-25T08:32:30,13.6,0.7,8.243,13.6,0.7,8.243,13.0,0.8,8.708,-1.0,0.0,1.775
2024-09-26T08:11:30,14.2,0.7,8.808,14.2,0.7,8.808,14.0,0.8,7.243,-1.0,0.0,1.725
2024-09-27T05:15:00,13.8,0.6,6.336,13.8,0.6,6.336,14.0,1.0,9.761,13.2,0.6,5.27
2024-09-27T08:59:00,13.8,1.0,9.926,13.8,1.0,9.926,13.6,0.9,10.724,15.0,1.6,2.835
2024-09-28T10:04:30,14.2,1.0,7.454,14.2,1.0,7.454,13.4,0.8,10.527,14.4,1.8,5.214
2024-09-29T11:26:30,13.4,0.9,10.321,13.4,0.9,10.321,13.4,0.9,13.137,14.0,2.2,3.665
2024-09-30T09:00:30,14.4,0.9,8.048,14.4,0.9,8.048,14.2,1.2,9.517,13.8,1.2,5.181
