timestamp,average_value,lower_bound,upper_bound
2024-02-23T00:00:00Z,94.6,91.4,97.6
2024-02-24T00:00:00Z,93.4,89.6,98.1
2024-02-25T00:00:00Z,94.6,91.4,98.1
2024-02-26T00:00:00Z,95.7,90.9,100.0
2024-02-27T00:00:00Z,96.7,93.6,99.5
2024-02-28T00:00:00Z,94.2,91.0,97.7
2024-02-29T00:00:00Z,96.2,92.0,100.0
2024-03-01T00:00:00Z,92.4,89.3,95.0
2024-03-02T00:00:00Z,96.2,92.6,98.9
2024-03-03T00:00:00Z,95.4,90.6,100.0
2024-03-04T00:00:00Z,93.7,92.5,94.6
2024-03-05T00:00:00Z,92.3,83.0,97.0
2024-03-06T00:00:00Z,95.1,92.4,97.8
2024-03-07T00:00:00Z,92.8,89.0,95.7
2024-03-08T00:00:00Z,95.3,92.1,98.9
2024-03-09T00:00:00Z,94.5,90.6,97.1
2024-03-10T00:00:00Z,96.1,94.5,98.3
2024-03-11T00:00:00Z,93.6,91.3,96.4
2024-03-12T00:00:00Z,96.6,95.7,97.4
2024-03-13T00:00:00Z,94.9,92.6,97.9
2024-03-14T00:00:00Z,95.6,92.8,97.9
2024-03-15T00:00:00Z,95.2,94.0,96.5
2024-03-16T00:00:00Z,95.5,93.1,97.1
2024-03-17T00:00:00Z,95.0,90.9,98.2
2024-03-18T00:00:00Z,97.0,95.6,99.4
2024-03-19T00:00:00Z,94.9,92.3,97.0
2024-03-20T00:00:00Z,95.7,93.4,97.1
2024-03-21T00:00:00Z,93.7,89.9,95.6
2024-03-22T00:00:00Z,95.4,93.8,97.1
2024-03-23T00:00:00Z,95.5,91.0,99.7
2024-03-24T00:00:00Z,95.7,94.1,98.8
2024-03-25T00:00:00Z,96.2,93.4,99.3
2024-03-26T00:00:00Z,96.5,95.0,98.2
2024-03-27T00:00:00Z,95.1,91.9,99.4
2024-03-28T00:00:00Z,96.5,95.4,98.1
2024-03-29T00:00:00Z,95.3,93.8,96.8
2024-03-30T00:00:00Z,95.9,93.0,98.1
2024-03-31T00:00:00Z,95.7,94.2,97.2
2024-04-01T00:00:00Z,94.9,93.3,96.6
2024-04-02T00:00:00Z,95.7,91.9,99.8
2024-04-03T00:00:00Z,95.9,95.2,96.8
2024-04-04T00:00:00Z,95.6,94.9,96.4
2024-04-05T00:00:00Z,96.1,92.4,100.0
2024-04-06T00:00:00Z,96.3,93.7,98.4
2024-04-07T00:00:00Z,96.0,93.0,98.2
2024-04-09T00:00:00Z,94.7,92.2,96.4
2024-04-10T00:00:00Z,97.1,95.1,100.0
2024-04-11T00:00:00Z,96.4,94.5,99.2
2024-04-12T00:00:00Z,96.4,92.0,99.9
2024-04-13T00:00:00Z,93.6,90.6,96.5
2024-04-14T00:00:00Z,94.1,91.2,96.5
2024-04-15T00:00:00Z,96.3,92.1,100.0
2024-04-16T00:00:00Z,95.1,92.2,97.0
2024-04-17T00:00:00Z,95.2,93.1,97.9
2024-04-18T00:00:00Z,95.7,92.8,98.6
2024-04-19T00:00:00Z,95.0,93.5,96.8
2024-04-20T00:00:00Z,95.1,92.9,96.7
2024-04-21T00:00:00Z,95.2,92.0,97.1
2024-04-22T00:00:00Z,96.1,93.9,97.7
2024-04-23T00:00:00Z,94.9,91.7,97.9
2024-04-24T00:00:00Z,94.7,91.6,96.1
2024-04-25T00:00:00Z,95.0,92.3,96.5
2024-04-26T00:00:00Z,95.9,94.1,97.3
2024-04-27T00:00:00Z,94.9,90.0,98.6
2024-04-28T00:00:00Z,97.0,92.5,100.0
2024-04-29T00:00:00Z,95.7,93.0,97.5
2024-04-30T00:00:00Z,95.8,94.1,98.6
2024-05-01T00:00:00Z,94.6,91.2,98.3
2024-05-02T00:00:00Z,95.3,91.3,97.9
2024-05-03T00:00:00Z,95.6,93.0,99.5
2024-05-04T00:00:00Z,94.5,89.8,96.9
2024-05-05T00:00:00Z,95.7,92.9,98.9
2024-05-06T00:00:00Z,95.9,93.5,99.5
2024-05-07T00:00:00Z,96.0,92.9,98.9
2024-05-08T00:00:00Z,95.0,90.2,98.9
2024-05-09T00:00:00Z,95.4,92.7,97.8
2024-05-10T00:00:00Z,95.3,93.2,100.0
2024-05-11T00:00:00Z,94.4,90.8,96.8
2024-05-12T00:00:00Z,96.2,92.5,99.9
2024-05-13T00:00:00Z,94.7,92.7,96.4
2024-05-14T00:00:00Z,95.4,92.6,97.9
2024-05-15T00:00:00Z,94.8,89.3,98.3
2024-05-16T00:00:00Z,95.9,94.2,97.2
2024-05-17T00:00:00Z,96.9,94.4,98.7
2024-05-18T00:00:00Z,96.5,93.5,100.0
2024-05-19T00:00:00Z,96.0,94.4,97.8
2024-05-21T00:00:00Z,95.9,95.2,96.9
2024-05-22T00:00:00Z,95.5,93.4,99.3
2024-05-23T00:00:00Z,95.7,94.6,96.8
2024-05-24T00:00:00Z,95.9,93.9,97.6
2024-05-25T00:00:00Z,96.5,90.8,100.0
2024-05-26T00:00:00Z,96.8,94.9,100.0
2024-05-27T00:00:00Z,96.5,93.6,98.7
2024-05-28T00:00:00Z,95.6,94.5,97.4
2024-05-29T00:00:00Z,94.7,90.0,97.9
2024-05-30T00:00:00Z,94.3,92.4,95.8
2024-05-31T00:00:00Z,95.6,93.3,98.6
2024-06-01T00:00:00Z,96.1,94.2,97.7
2024-06-02T00:00:00Z,93.9,88.1,97.9
