DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-11-10T00:00:00,2021-11-10T12:31:21.658,0,0,0,0,0,0,0,NO_DATA,true
2021-11-11T00:00:00,2021-11-11T12:42:28.114,65,23,30,18,30,24,40,READY,false
2021-11-12T00:00:00,2021-11-12T13:44:58.372,67,25,30,15,30,27,40,READY,false
2021-11-13T00:00:00,2021-11-13T16:48:56.386,72,25,30,20,30,27,40,READY,false
2021-11-14T00:00:00,2021-11-14T16:39:53.737,77,25,30,23,30,29,40,READY,false
2021-11-15T00:00:00,2021-11-15T13:46:24.739,76,27,30,17,30,32,40,READY,false
2021-11-16T00:00:00,2021-11-16T13:58:40.842,69,23,30,17,30,29,40,READY,false
2021-11-17T00:00:00,2021-11-17T15:48:34.813,73,24,30,20,30,29,40,READY,false
2021-11-18T00:00:00,2021-11-18T12:53:15.43,70,24,30,17,30,29,40,READY,false
2021-11-19T00:00:00,2021-11-19T15:02:37.411,66,21,30,15,30,30,40,READY,false
2021-11-20T00:00:00,2021-11-20T16:38:17.466,73,22,30,21,30,30,40,READY,false
2021-11-21T00:00:00,2021-11-21T16:03:11.876,81,26,30,23,30,32,40,READY,false
2021-11-23T00:00:00,2021-11-23T13:58:26.784,0,0,0,0,0,0,0,NO_DATA,true
2021-11-24T00:00:00,2021-11-24T15:14:39.403,67,21,30,17,30,29,40,READY,false
2021-11-25T00:00:00,2021-11-25T13:02:16.161,71,25,30,16,30,30,40,READY,false
2021-11-26T00:00:00,2021-11-26T14:11:24.486,74,25,30,16,30,33,40,READY,false
2021-11-27T00:00:00,2021-11-27T16:28:45.967,71,23,30,16,30,32,40,READY,false
2021-11-28T00:00:00,2021-11-28T16:04:19.46,70,26,30,13,30,31,40,READY,false
2021-11-29T00:00:00,2021-11-29T14:57:11.71,75,22,30,23,30,30,40,READY,false
2021-11-30T00:00:00,2021-11-30T14:34:07.572,81,29,30,19,30,33,40,READY,false
2021-12-01T00:00:00,2021-12-01T15:12:26.265,80,26,30,23,30,31,40,READY,false
2021-12-02T00:00:00,2021-12-02T14:31:03.51,79,28,30,19,30,32,40,READY,false
2021-12-03T00:00:00,2021-12-03T14:05:00.573,76,28,30,15,30,33,40,READY,false
2021-12-04T00:00:00,2021-12-04T14:27:55.173,67,21,30,15,30,31,40,READY,false
2021-12-05T00:00:00,2021-12-05T15:59:23.856,77,25,30,13,30,39,40,READY,false
2021-12-06T00:00:00,2021-12-06T15:38:55.603,71,19,30,19,30,33,40,READY,false
2021-12-07T00:00:00,2021-12-07T13:25:26.646,76,28,30,17,30,31,40,READY,false
2021-12-08T00:00:00,2021-12-08T14:44:38.645,75,25,30,19,30,31,40,READY,false
2021-12-09T00:00:00,2021-12-09T12:46:03.504,80,28,30,20,30,32,40,READY,false
2021-12-10T00:00:00,2021-12-10T13:45:33.685,74,25,30,19,30,30,40,READY,false
2021-12-11T00:00:00,2021-12-11T14:36:35.076,72,24,30,16,30,32,40,READY,false
2021-12-12T00:00:00,2021-12-12T13:18:05.784,79,28,30,19,30,32,40,READY,false
2021-12-13T00:00:00,2021-12-13T13:49:36.638,78,25,30,21,30,32,40,READY,false
2021-12-14T00:00:00,2021-12-14T14:15:24.703,78,25,30,24,30,29,40,READY,false
2021-12-15T00:00:00,2021-12-15T13:59:43.586,73,26,30,17,30,30,40,READY,false
2021-12-16T00:00:00,2021-12-16T13:09:44.036,74,26,30,17,30,31,40,READY,false
2021-12-17T00:00:00,2021-12-17T13:58:39.415,81,28,30,23,30,30,40,READY,false
2021-12-18T00:00:00,2021-12-18T14:17:06.15,73,22,30,21,30,30,40,READY,false
2021-12-19T00:00:00,2021-12-19T15:09:14.46,78,29,30,17,30,32,40,READY,false
2021-12-20T00:00:00,2021-12-20T14:03:59.741,84,28,30,23,30,33,40,READY,false
2021-12-21T00:00:00,2021-12-21T15:22:21.254,70,25,30,15,30,30,40,READY,false
2021-12-22T00:00:00,2021-12-22T15:29:43.662,81,29,30,23,30,29,40,READY,false
